,cell,x,y,celltype
0,CC10x10,10,10,TDuct_epithelium
1,CC10x13,10,13,TDuct_epithelium
2,CC10x14,10,14,TDuct_epithelium
3,CC10x15,10,15,TDuct_epithelium
4,CC10x16,10,16,TDuct_epithelium
5,CC10x17,10,17,TDuct_epithelium
6,CC10x19,10,19,TDuct_epithelium
7,CC10x20,10,20,TDuct_epithelium
8,CC10x24,10,24,TDuct_epithelium
9,CC10x25,10,25,TDuct_epithelium
10,CC10x26,10,26,TDuct_epithelium
11,CC10x27,10,27,TDuct_epithelium
12,CC10x28,10,28,TDuct_epithelium
13,CC10x29,10,29,TStroma
14,CC10x30,10,30,TDuct_epithelium
15,CC10x31,10,31,TStroma
16,CC10x32,10,32,TStroma
17,CC10x33,10,33,TDuct_epithelium
18,CC11x11,11,11,TDuct_epithelium
19,CC11x13,11,13,TDuct_epithelium
20,CC11x14,11,14,TDuct_epithelium
21,CC11x15,11,15,TDuct_epithelium
22,CC11x16,11,16,TDuct_epithelium
23,CC11x17,11,17,TDuct_epithelium
24,CC11x19,11,19,TDuct_epithelium
25,CC11x21,11,21,TDuct_epithelium
26,CC11x22,11,22,TDuct_epithelium
27,CC11x23,11,23,TDuct_epithelium
28,CC11x24,11,24,TDuct_epithelium
29,CC11x25,11,25,TDuct_epithelium
30,CC11x26,11,26,TStroma
31,CC11x27,11,27,TDuct_epithelium
32,CC11x28,11,28,TDuct_epithelium
33,CC11x29,11,29,TDuct_epithelium
34,CC11x30,11,30,TDuct_epithelium
35,CC11x31,11,31,TDuct_epithelium
36,CC11x32,11,32,TStroma
37,CC11x33,11,33,TCancer_region
38,CC11x34,11,34,TCancer_region
39,CC12x13,12,13,TStroma
40,CC12x14,12,14,TStroma
41,CC12x15,12,15,TStroma
42,CC12x16,12,16,TStroma
43,CC12x17,12,17,TDuct_epithelium
44,CC12x19,12,19,TDuct_epithelium
45,CC12x20,12,20,TDuct_epithelium
46,CC12x21,12,21,TDuct_epithelium
47,CC12x22,12,22,TDuct_epithelium
48,CC12x23,12,23,TDuct_epithelium
49,CC12x24,12,24,TDuct_epithelium
50,CC12x25,12,25,TDuct_epithelium
51,CC12x26,12,26,TStroma
52,CC12x27,12,27,TDuct_epithelium
53,CC12x28,12,28,TDuct_epithelium
54,CC12x29,12,29,TStroma
55,CC12x30,12,30,TStroma
56,CC12x31,12,31,TStroma
57,CC12x32,12,32,TCancer_region
58,CC12x33,12,33,TCancer_region
59,CC12x34,12,34,TCancer_region
60,CC13x13,13,13,TPancreatic_tissue
61,CC13x14,13,14,TStroma
62,CC13x15,13,15,TPancreatic_tissue
63,CC13x16,13,16,TPancreatic_tissue
64,CC13x17,13,17,TPancreatic_tissue
65,CC13x19,13,19,TDuct_epithelium
66,CC13x20,13,20,TDuct_epithelium
67,CC13x21,13,21,TDuct_epithelium
68,CC13x22,13,22,TDuct_epithelium
69,CC13x23,13,23,TStroma
70,CC13x24,13,24,TStroma
71,CC13x25,13,25,TStroma
72,CC13x26,13,26,TStroma
73,CC13x27,13,27,TStroma
74,CC13x28,13,28,TDuct_epithelium
75,CC13x29,13,29,TStroma
76,CC13x30,13,30,TCancer_region
77,CC13x31,13,31,TCancer_region
78,CC13x32,13,32,TCancer_region
79,CC13x33,13,33,TCancer_region
80,CC13x34,13,34,TDuct_epithelium
81,CC14x13,14,13,TPancreatic_tissue
82,CC14x14,14,14,TPancreatic_tissue
83,CC14x15,14,15,TPancreatic_tissue
84,CC14x16,14,16,TPancreatic_tissue
85,CC14x17,14,17,TStroma
86,CC14x18,14,18,TStroma
87,CC14x19,14,19,TDuct_epithelium
88,CC14x20,14,20,TStroma
89,CC14x21,14,21,TDuct_epithelium
90,CC14x22,14,22,TDuct_epithelium
91,CC14x23,14,23,TStroma
92,CC14x24,14,24,TStroma
93,CC14x25,14,25,TPancreatic_tissue
94,CC14x26,14,26,TPancreatic_tissue
95,CC14x27,14,27,TStroma
96,CC14x28,14,28,TCancer_region
97,CC14x29,14,29,TCancer_region
98,CC14x30,14,30,TCancer_region
99,CC14x31,14,31,TCancer_region
100,CC14x32,14,32,TStroma
101,CC14x33,14,33,TCancer_region
102,CC14x34,14,34,TCancer_region
103,CC15x13,15,13,TPancreatic_tissue
104,CC15x14,15,14,TPancreatic_tissue
105,CC15x15,15,15,TStroma
106,CC15x16,15,16,TStroma
107,CC15x17,15,17,TPancreatic_tissue
108,CC15x18,15,18,TPancreatic_tissue
109,CC15x19,15,19,TStroma
110,CC15x20,15,20,TStroma
111,CC15x21,15,21,TStroma
112,CC15x22,15,22,TStroma
113,CC15x23,15,23,TStroma
114,CC15x24,15,24,TPancreatic_tissue
115,CC15x25,15,25,TPancreatic_tissue
116,CC15x26,15,26,TPancreatic_tissue
117,CC15x27,15,27,TStroma
118,CC15x28,15,28,TCancer_region
119,CC15x29,15,29,TCancer_region
120,CC15x30,15,30,TCancer_region
121,CC15x31,15,31,TCancer_region
122,CC15x32,15,32,TCancer_region
123,CC15x33,15,33,TCancer_region
124,CC15x34,15,34,TDuct_epithelium
125,CC16x13,16,13,TPancreatic_tissue
126,CC16x14,16,14,TPancreatic_tissue
127,CC16x15,16,15,TPancreatic_tissue
128,CC16x16,16,16,TPancreatic_tissue
129,CC16x17,16,17,TPancreatic_tissue
130,CC16x18,16,18,TPancreatic_tissue
131,CC16x19,16,19,TDuct_epithelium
132,CC16x20,16,20,TDuct_epithelium
133,CC16x21,16,21,TStroma
134,CC16x22,16,22,TStroma
135,CC16x23,16,23,TStroma
136,CC16x24,16,24,TStroma
137,CC16x25,16,25,TPancreatic_tissue
138,CC16x26,16,26,TStroma
139,CC16x27,16,27,TStroma
140,CC16x28,16,28,TStroma
141,CC16x30,16,30,TCancer_region
142,CC16x31,16,31,TCancer_region
143,CC16x32,16,32,TCancer_region
144,CC16x33,16,33,TCancer_region
145,CC16x34,16,34,TStroma
146,CC17x13,17,13,TPancreatic_tissue
147,CC17x14,17,14,TPancreatic_tissue
148,CC17x15,17,15,TPancreatic_tissue
149,CC17x16,17,16,TPancreatic_tissue
150,CC17x17,17,17,TPancreatic_tissue
151,CC17x18,17,18,TPancreatic_tissue
152,CC17x19,17,19,TStroma
153,CC17x20,17,20,TStroma
154,CC17x21,17,21,TStroma
155,CC17x22,17,22,TStroma
156,CC17x23,17,23,TStroma
157,CC17x24,17,24,TStroma
158,CC17x25,17,25,TStroma
159,CC17x26,17,26,TStroma
160,CC17x28,17,28,TStroma
161,CC17x29,17,29,TStroma
162,CC17x30,17,30,TCancer_region
163,CC17x31,17,31,TCancer_region
164,CC17x32,17,32,TCancer_region
165,CC17x33,17,33,TCancer_region
166,CC17x34,17,34,TCancer_region
167,CC18x13,18,13,TPancreatic_tissue
168,CC18x14,18,14,TPancreatic_tissue
169,CC18x15,18,15,TPancreatic_tissue
170,CC18x16,18,16,TPancreatic_tissue
171,CC18x17,18,17,TPancreatic_tissue
172,CC18x18,18,18,TPancreatic_tissue
173,CC18x19,18,19,TPancreatic_tissue
174,CC18x20,18,20,TStroma
175,CC18x21,18,21,TStroma
176,CC18x22,18,22,TStroma
177,CC18x23,18,23,TStroma
178,CC18x24,18,24,TStroma
179,CC18x25,18,25,TStroma
180,CC18x26,18,26,TStroma
181,CC18x28,18,28,TStroma
182,CC18x29,18,29,TStroma
183,CC18x30,18,30,TCancer_region
184,CC18x31,18,31,TCancer_region
185,CC18x32,18,32,TCancer_region
186,CC18x33,18,33,TCancer_region
187,CC18x34,18,34,TCancer_region
188,CC19x13,19,13,TPancreatic_tissue
189,CC19x14,19,14,TPancreatic_tissue
190,CC19x15,19,15,TPancreatic_tissue
191,CC19x17,19,17,TPancreatic_tissue
192,CC19x18,19,18,TPancreatic_tissue
193,CC19x19,19,19,TStroma
194,CC19x20,19,20,TStroma
195,CC19x21,19,21,TStroma
196,CC19x22,19,22,TStroma
197,CC19x23,19,23,TDuct_epithelium
198,CC19x24,19,24,TStroma
199,CC19x25,19,25,TStroma
200,CC19x26,19,26,TStroma
201,CC19x27,19,27,TStroma
202,CC19x28,19,28,TStroma
203,CC19x29,19,29,TStroma
204,CC19x30,19,30,TStroma
205,CC19x31,19,31,TCancer_region
206,CC19x32,19,32,TCancer_region
207,CC19x33,19,33,TCancer_region
208,CC19x34,19,34,TCancer_region
209,CC20x13,20,13,TPancreatic_tissue
210,CC20x14,20,14,TPancreatic_tissue
211,CC20x15,20,15,TPancreatic_tissue
212,CC20x16,20,16,TPancreatic_tissue
213,CC20x17,20,17,TPancreatic_tissue
214,CC20x18,20,18,TPancreatic_tissue
215,CC20x19,20,19,TStroma
216,CC20x20,20,20,TStroma
217,CC20x21,20,21,TStroma
218,CC20x22,20,22,TStroma
219,CC20x23,20,23,TStroma
220,CC20x24,20,24,TStroma
221,CC20x25,20,25,TStroma
222,CC20x26,20,26,TStroma
223,CC20x27,20,27,TStroma
224,CC20x28,20,28,TCancer_region
225,CC20x29,20,29,TCancer_region
226,CC20x30,20,30,TCancer_region
227,CC20x31,20,31,TCancer_region
228,CC20x32,20,32,TCancer_region
229,CC20x33,20,33,TCancer_region
230,CC20x34,20,34,TCancer_region
231,CC21x14,21,14,TPancreatic_tissue
232,CC21x15,21,15,TPancreatic_tissue
233,CC21x16,21,16,TPancreatic_tissue
234,CC21x17,21,17,TPancreatic_tissue
235,CC21x18,21,18,TPancreatic_tissue
236,CC21x19,21,19,TDuct_epithelium
237,CC21x20,21,20,TStroma
238,CC21x21,21,21,TStroma
239,CC21x22,21,22,TStroma
240,CC21x23,21,23,TStroma
241,CC21x24,21,24,TStroma
242,CC21x25,21,25,TStroma
243,CC21x26,21,26,TStroma
244,CC21x27,21,27,TDuct_epithelium
245,CC21x28,21,28,TCancer_region
246,CC21x29,21,29,TCancer_region
247,CC21x30,21,30,TCancer_region
248,CC21x31,21,31,TCancer_region
249,CC21x32,21,32,TCancer_region
250,CC21x33,21,33,TCancer_region
251,CC22x14,22,14,TPancreatic_tissue
252,CC22x15,22,15,TPancreatic_tissue
253,CC22x16,22,16,TPancreatic_tissue
254,CC22x17,22,17,TPancreatic_tissue
255,CC22x18,22,18,TStroma
256,CC22x19,22,19,TDuct_epithelium
257,CC22x20,22,20,TStroma
258,CC22x21,22,21,TStroma
259,CC22x23,22,23,TStroma
260,CC22x24,22,24,TStroma
261,CC22x25,22,25,TStroma
262,CC22x26,22,26,TStroma
263,CC22x27,22,27,TStroma
264,CC22x28,22,28,TCancer_region
265,CC22x29,22,29,TCancer_region
266,CC22x30,22,30,TCancer_region
267,CC22x31,22,31,TCancer_region
268,CC22x32,22,32,TCancer_region
269,CC22x33,22,33,TCancer_region
270,CC23x15,23,15,TPancreatic_tissue
271,CC23x16,23,16,TPancreatic_tissue
272,CC23x17,23,17,TStroma
273,CC23x18,23,18,TStroma
274,CC23x19,23,19,TStroma
275,CC23x20,23,20,TStroma
276,CC23x21,23,21,TStroma
277,CC23x22,23,22,TStroma
278,CC23x23,23,23,TStroma
279,CC23x24,23,24,TStroma
280,CC23x25,23,25,TStroma
281,CC23x26,23,26,TDuct_epithelium
282,CC23x27,23,27,TCancer_region
283,CC23x28,23,28,TCancer_region
284,CC23x29,23,29,TCancer_region
285,CC23x30,23,30,TCancer_region
286,CC23x31,23,31,TCancer_region
287,CC23x32,23,32,TCancer_region
288,CC24x16,24,16,TPancreatic_tissue
289,CC24x17,24,17,TPancreatic_tissue
290,CC24x18,24,18,TStroma
291,CC24x19,24,19,TStroma
292,CC24x20,24,20,TStroma
293,CC24x21,24,21,TStroma
294,CC24x22,24,22,TStroma
295,CC24x23,24,23,TStroma
296,CC24x24,24,24,TStroma
297,CC24x25,24,25,TStroma
298,CC24x26,24,26,TCancer_region
299,CC24x27,24,27,TCancer_region
300,CC24x28,24,28,TCancer_region
301,CC24x29,24,29,TCancer_region
302,CC24x30,24,30,TCancer_region
303,CC24x31,24,31,TCancer_region
304,CC24x32,24,32,TCancer_region
305,CC25x17,25,17,TStroma
306,CC25x18,25,18,TStroma
307,CC25x19,25,19,TStroma
308,CC25x20,25,20,TStroma
309,CC25x21,25,21,TStroma
310,CC25x22,25,22,TCancer_region
311,CC25x23,25,23,TCancer_region
312,CC25x24,25,24,TStroma
313,CC25x25,25,25,TStroma
314,CC25x26,25,26,TCancer_region
315,CC25x27,25,27,TCancer_region
316,CC25x28,25,28,TCancer_region
317,CC25x29,25,29,TCancer_region
318,CC25x30,25,30,TCancer_region
319,CC25x31,25,31,TCancer_region
320,CC25x32,25,32,TCancer_region
321,CC26x17,26,17,TPancreatic_tissue
322,CC26x18,26,18,TPancreatic_tissue
323,CC26x19,26,19,TStroma
324,CC26x20,26,20,TStroma
325,CC26x21,26,21,TStroma
326,CC26x22,26,22,TCancer_region
327,CC26x23,26,23,TCancer_region
328,CC26x24,26,24,TCancer_region
329,CC26x25,26,25,TCancer_region
330,CC26x26,26,26,TCancer_region
331,CC26x27,26,27,TCancer_region
332,CC26x28,26,28,TCancer_region
333,CC26x29,26,29,TCancer_region
334,CC26x30,26,30,TCancer_region
335,CC26x31,26,31,TCancer_region
336,CC27x18,27,18,TStroma
337,CC27x19,27,19,TStroma
338,CC27x20,27,20,TDuct_epithelium
339,CC27x21,27,21,TCancer_region
340,CC27x22,27,22,TCancer_region
341,CC27x23,27,23,TCancer_region
342,CC27x25,27,25,TCancer_region
343,CC27x26,27,26,TCancer_region
344,CC27x27,27,27,TCancer_region
345,CC27x28,27,28,TCancer_region
346,CC28x18,28,18,TStroma
347,CC28x19,28,19,TCancer_region
348,CC28x20,28,20,TStroma
349,CC28x21,28,21,TCancer_region
350,CC28x22,28,22,TCancer_region
351,CC28x23,28,23,TCancer_region
352,CC28x25,28,25,TCancer_region
353,CC28x26,28,26,TCancer_region
354,CC29x19,29,19,TCancer_region
355,CC29x20,29,20,TCancer_region
356,CC29x21,29,21,TCancer_region
357,CC29x22,29,22,TCancer_region
358,CC29x23,29,23,TCancer_region
359,CC2x14,2,14,TDuct_epithelium
360,CC2x15,2,15,TDuct_epithelium
361,CC2x16,2,16,TDuct_epithelium
362,CC2x17,2,17,TDuct_epithelium
363,CC2x18,2,18,TDuct_epithelium
364,CC30x20,30,20,TCancer_region
365,CC30x21,30,21,TCancer_region
366,CC30x22,30,22,TCancer_region
367,CC3x13,3,13,TDuct_epithelium
368,CC3x14,3,14,TDuct_epithelium
369,CC3x15,3,15,TDuct_epithelium
370,CC3x16,3,16,TDuct_epithelium
371,CC3x17,3,17,TDuct_epithelium
372,CC3x18,3,18,TDuct_epithelium
373,CC4x10,4,10,TDuct_epithelium
374,CC4x11,4,11,TDuct_epithelium
375,CC4x13,4,13,TDuct_epithelium
376,CC4x14,4,14,TDuct_epithelium
377,CC4x15,4,15,TStroma
378,CC4x16,4,16,TDuct_epithelium
379,CC4x17,4,17,TDuct_epithelium
380,CC4x8,4,8,TStroma
381,CC4x9,4,9,TDuct_epithelium
382,CC5x10,5,10,TDuct_epithelium
383,CC5x11,5,11,TDuct_epithelium
384,CC5x13,5,13,TDuct_epithelium
385,CC5x14,5,14,TCancer_region
386,CC5x15,5,15,TDuct_epithelium
387,CC5x16,5,16,TDuct_epithelium
388,CC5x17,5,17,TDuct_epithelium
389,CC5x8,5,8,TStroma
390,CC5x9,5,9,TDuct_epithelium
391,CC6x10,6,10,TDuct_epithelium
392,CC6x11,6,11,TDuct_epithelium
393,CC6x13,6,13,TDuct_epithelium
394,CC6x14,6,14,TDuct_epithelium
395,CC6x15,6,15,TDuct_epithelium
396,CC6x16,6,16,TDuct_epithelium
397,CC6x31,6,31,TDuct_epithelium
398,CC6x32,6,32,TDuct_epithelium
399,CC6x33,6,33,TDuct_epithelium
400,CC6x9,6,9,TDuct_epithelium
401,CC7x10,7,10,TDuct_epithelium
402,CC7x11,7,11,TDuct_epithelium
403,CC7x13,7,13,TDuct_epithelium
404,CC7x14,7,14,TDuct_epithelium
405,CC7x31,7,31,TDuct_epithelium
406,CC7x32,7,32,TDuct_epithelium
407,CC7x33,7,33,TDuct_epithelium
408,CC8x10,8,10,TDuct_epithelium
409,CC8x11,8,11,TDuct_epithelium
410,CC8x13,8,13,TDuct_epithelium
411,CC8x14,8,14,TDuct_epithelium
412,CC8x31,8,31,TDuct_epithelium
413,CC8x32,8,32,TDuct_epithelium
414,CC8x33,8,33,TCancer_region
415,CC9x10,9,10,TDuct_epithelium
416,CC9x11,9,11,TDuct_epithelium
417,CC9x13,9,13,TDuct_epithelium
418,CC9x16,9,16,TDuct_epithelium
419,CC9x17,9,17,TDuct_epithelium
420,CC9x18,9,18,TDuct_epithelium
421,CC9x26,9,26,TDuct_epithelium
422,CC9x27,9,27,TDuct_epithelium
423,CC9x29,9,29,TDuct_epithelium
424,CC9x30,9,30,TDuct_epithelium
425,CC9x31,9,31,TStroma
426,CC9x32,9,32,TStroma
427,CC9x33,9,33,TCancer_region
